ID_Produto,Produto,Preco_Unitario,Satisfacao_Media,Material,Data_Fabricacao
P2474,Vestido Longo Rosa 2474,170.29,4.1,Viscose,2021-08-31
P2475,Vestido Midi Azul 2475,97.45,4.3,Viscose,2024-09-12
P2476,Conjunto Moletom Amarela 2476,70.23,3.9,Algodão/Poliéster,2021-08-26
P2477,Jaqueta Puffer Rosa 2477,339.65,4.8,Poliéster,2024-01-24
P2478,Regata Esportiva Bege 2478,146.12,3.6,Algodão,2021-09-29
P2479,Jaqueta Puffer Verde 2479,200.75,4.3,Poliéster,2023-09-12
P2480,Moletom Básico Marrom 2480,139.61,4.2,Algodão/Poliéster,2025-06-04
P2481,Saia Plissada Preta 2481,168.89,4.0,Poliéster,2022-10-01
P2482,Regata Esportiva Rosa 2482,85.44,4.1,Algodão,2024-05-30
P2483,Vestido Casual Marrom 2483,319.99,4.3,Viscose,2022-06-22
P2484,Blazer Social Vermelha 2484,310.26,4.8,Poliéster,2022-09-13
P2485,Moletom Estampado Preta 2485,287.58,4.1,Algodão/Poliéster,2022-01-14
P2486,Camiseta Estampada Branca 2486,91.54,4.5,Algodão,2021-12-02
P2487,Saia Jeans Verde 2487,110.12,4.1,Poliéster,2023-02-09
P2488,Blazer Social Cinza 2488,63.88,4.1,Poliéster,2021-09-13
P2489,Regata Esportiva Azul 2489,93.93,4.2,Algodão,2026-01-19
P2490,Blazer Social Verde 2490,362.93,3.6,Poliéster,2025-03-14
P2491,Conjunto Esportivo Rosa 2491,108.64,4.5,Poliéster,2022-04-04
P2492,Vestido Longo Amarela 2492,301.03,4.8,Viscose,2026-01-07
P2493,Blazer Slim Verde 2493,129.0,4.5,Poliéster,2023-01-26
P2494,Bermuda Jeans Verde 2494,138.87,3.8,Sarja,2024-01-04
P2495,Moletom Canguru Amarela 2495,49.15,4.0,Algodão/Poliéster,2024-12-17
P2496,Camiseta Slim Azul 2496,399.89,4.5,Algodão,2025-05-18
P2497,Camisa Social Preta 2497,304.9,3.7,Algodão,2021-01-17
P2498,Conjunto Moletom Azul 2498,336.86,3.2,Algodão/Poliéster,2022-08-09
P2499,Saia Plissada Amarela 2499,349.58,4.4,Poliéster,2022-11-28
P2500,Saia Casual Azul 2500,358.03,3.7,Poliéster,2024-04-26
P2501,Camiseta Oversized Azul 2501,322.1,4.4,Algodão,2025-12-11
P2502,Moletom Com Capuz Branca 2502,262.85,3.9,Algodão/Poliéster,2023-06-26
P2503,Calça Social Azul 2503,60.44,3.5,Sarja,2023-08-17
P2504,Bermuda Jeans Rosa 2504,235.79,3.7,Sarja,2021-07-01
P2505,Bermuda Cargo Rosa 2505,81.11,4.8,Sarja,2023-12-25
P2506,Jaqueta Puffer Amarela 2506,323.82,4.0,Poliéster,2023-10-06
P2507,Moletom Com Capuz Verde 2507,350.8,3.8,Algodão/Poliéster,2024-08-10
P2508,Blusa Social Bege 2508,262.82,4.8,Viscose,2025-10-19
P2509,Regata Canelada Bege 2509,274.65,4.3,Algodão,2024-03-19
P2510,Moletom Básico Preta 2510,117.97,4.9,Algodão/Poliéster,2021-04-18
P2511,Moletom Canguru Preta 2511,188.19,4.1,Algodão/Poliéster,2025-08-18
P2512,Camiseta Oversized Amarela 2512,135.95,4.3,Algodão,2023-09-15
P2513,Blusa Manga Longa Vermelha 2513,193.83,3.8,Viscose,2023-10-04
P2514,Jaqueta Puffer Branca 2514,257.74,4.5,Poliéster,2025-12-12
P2515,Camiseta Básica Branca 2515,95.77,4.6,Algodão,2024-05-05
P2516,Regata Canelada Marrom 2516,103.01,4.7,Algodão,2025-06-23
P2517,Moletom Canguru Branca 2517,172.48,4.8,Algodão/Poliéster,2025-12-26
P2518,Conjunto Esportivo Amarela 2518,316.28,4.6,Poliéster,2023-10-18
P2519,Camisa Manga Curta Azul 2519,346.64,4.2,Algodão,2026-07-26
P2520,Camiseta Oversized Bege 2520,211.98,3.4,Algodão,2021-12-21
P2521,Camisa Flanela Bege 2521,263.46,5.0,Algodão,2025-12-08
P2522,Blazer Social Preta 2522,283.55,4.2,Poliéster,2025-10-22
P2523,Camiseta Slim Marrom 2523,136.31,4.5,Algodão,2021-07-26
P2524,Camisa Social Rosa 2524,164.14,4.7,Algodão,2021-11-13
P2525,Bermuda Cargo Verde 2525,353.61,5.0,Sarja,2021-03-18
P2526,Vestido Floral Rosa 2526,90.83,3.7,Viscose,2022-07-27
P2527,Camisa Social Amarela 2527,251.25,3.8,Algodão,2026-08-14
P2528,Vestido Casual Preta 2528,323.67,3.4,Viscose,2021-09-15
P2529,Saia Casual Rosa 2529,75.17,4.9,Poliéster,2021-03-11
P2530,Camiseta Oversized Rosa 2530,171.67,4.0,Algodão,2023-08-08
P2531,Calça Cargo Cinza 2531,325.02,4.3,Sarja,2023-01-02
P2532,Jaqueta Jeans Marrom 2532,202.87,4.0,Denim,2024-07-25
P2533,Regata Canelada Bege 2533,399.89,3.8,Algodão,2024-06-08
P2534,Calça Social Vermelha 2534,140.24,5.0,Sarja,2025-09-08
P2535,Blazer Social Verde 2535,238.55,4.1,Poliéster,2023-05-09
P2536,Saia Casual Vermelha 2536,232.54,4.0,Poliéster,2023-08-13
P2537,Conjunto Moletom Azul 2537,338.77,4.1,Algodão/Poliéster,2021-02-16
P2538,Vestido Midi Vermelha 2538,347.05,4.6,Viscose,2026-07-02
P2539,Saia Midi Vermelha 2539,383.79,4.1,Poliéster,2022-03-18
P2540,Blusa Manga Longa Branca 2540,358.16,3.5,Viscose,2024-05-17
P2541,Conjunto Moletom Rosa 2541,399.89,3.8,Algodão/Poliéster,2025-12-28
P2542,Bermuda Jeans Azul 2542,70.36,3.9,Sarja,2024-06-04
P2543,Blazer Casual Marrom 2543,355.66,4.3,Poliéster,2024-07-17
P2544,Vestido Casual Rosa 2544,337.08,4.2,Viscose,2021-12-29
P2545,Saia Jeans Branca 2545,161.5,4.1,Poliéster,2025-01-06
P2546,Vestido Casual Amarela 2546,330.54,4.3,Viscose,2022-01-29
P2547,Jaqueta Jeans Branca 2547,206.95,4.2,Denim,2024-12-02
P2548,Calça Social Azul 2548,211.35,4.7,Sarja,2024-04-08
P2549,Calça Jogger Amarela 2549,161.0,4.1,Sarja,2023-10-10
P2550,Blusa Canelada Preta 2550,162.37,3.9,Viscose,2025-01-31
P2551,Camisa Manga Curta Azul 2551,255.83,3.9,Algodão,2025-01-29
P2552,Blusa Canelada Vermelha 2552,208.41,4.4,Viscose,2022-02-28
P2553,Saia Jeans Branca 2553,353.77,4.2,Poliéster,2023-02-17
P2554,Camisa Social Preta 2554,304.2,4.4,Algodão,2023-09-29
P2555,Calça Jeans Branca 2555,62.78,4.7,Sarja,2021-11-10
P2556,Camisa Flanela Marrom 2556,132.51,4.7,Algodão,2023-01-07
P2557,Regata Básica Verde 2557,123.37,4.4,Algodão,2021-03-27
P2558,Vestido Midi Preta 2558,112.31,3.3,Viscose,2023-06-27
P2559,Bermuda Jeans Branca 2559,314.53,4.1,Sarja,2022-03-02
P2560,Regata Esportiva Bege 2560,167.68,3.6,Algodão,2022-04-05
P2561,Calça Sarja Rosa 2561,399.89,4.6,Sarja,2025-08-21
P2562,Blazer Slim Vermelha 2562,105.86,5.0,Poliéster,2021-10-19
P2563,Camisa Social Cinza 2563,222.32,4.2,Algodão,2021-09-07
P2564,Jaqueta Puffer Amarela 2564,51.87,4.5,Poliéster,2022-10-26
P2565,Moletom Básico Bege 2565,362.07,3.4,Algodão/Poliéster,2021-02-18
P2566,Moletom Básico Preta 2566,122.62,4.8,Algodão/Poliéster,2025-12-03
P2567,Moletom Canguru Preta 2567,370.59,4.0,Algodão/Poliéster,2026-08-04
P2568,Blazer Casual Azul 2568,74.69,4.1,Poliéster,2025-07-25
P2569,Vestido Floral Amarela 2569,212.6,3.7,Viscose,2025-07-12
P2570,Moletom Básico Branca 2570,106.01,3.7,Algodão/Poliéster,2021-07-30
P2571,Camiseta Estampada Preta 2571,293.82,4.9,Algodão,2024-02-22
P2572,Regata Esportiva Preta 2572,120.9,4.5,Algodão,2021-07-01
P2573,Jaqueta Jeans Marrom 2573,121.74,3.9,Denim,2022-09-15
P2574,Camisa Social Branca 2574,202.82,4.4,Algodão,2023-10-17
P2575,Cinto de Couro 2575,92.61,4.2,Couro,2024-11-11
P2576,Bermuda Moletom Amarela 2576,154.09,4.7,Sarja,2022-07-28
P2577,Jaqueta Bomber Amarela 2577,212.08,3.7,Poliéster,2022-06-15
P2578,Camiseta Estampada Azul 2578,84.06,4.1,Algodão,2025-08-31
P2579,Camisa Flanela Branca 2579,127.58,4.3,Algodão,2022-04-09
P2580,Calça Social Verde 2580,295.92,3.7,Sarja,2023-10-03
P2581,Camisa Manga Curta Amarela 2581,357.45,4.1,Algodão,2022-08-17
P2582,Blazer Casual Vermelha 2582,209.51,3.8,Poliéster,2025-10-31
P2583,Blazer Slim Marrom 2583,185.38,4.9,Poliéster,2024-01-12
P2584,Camisa Flanela Verde 2584,54.26,3.8,Algodão,2021-08-12
P2585,Saia Plissada Azul 2585,245.49,4.3,Poliéster,2021-11-03
P2586,Camisa Flanela Cinza 2586,106.32,5.0,Algodão,2026-07-01
P2587,Vestido Midi Verde 2587,351.78,4.1,Viscose,2026-04-30
P2588,Blusa Social Rosa 2588,119.01,4.3,Viscose,2025-05-07
P2589,Camisa Flanela Bege 2589,337.6,4.8,Algodão,2021-06-10
P2590,Jaqueta Jeans Rosa 2590,126.06,4.6,Denim,2025-02-23
P2591,Camisa Linho Cinza 2591,135.09,4.4,Algodão,2024-09-29
P2592,Bermuda Cargo Cinza 2592,111.34,3.8,Sarja,2026-04-30
P2593,Conjunto Esportivo Marrom 2593,141.74,4.3,Poliéster,2023-10-04
P2594,Conjunto Moletom Branca 2594,290.47,3.9,Algodão/Poliéster,2023-09-01
P2595,Conjunto Casual Bege 2595,308.01,5.0,Algodão,2024-08-01
P2596,Blusa Básica Marrom 2596,293.54,4.3,Viscose,2021-11-05
P2597,Blusa Manga Longa Branca 2597,308.63,4.4,Viscose,2025-03-23
P2598,Moletom Canguru Branca 2598,284.98,3.8,Algodão/Poliéster,2023-10-26
P2599,Vestido Midi Azul 2599,323.47,4.5,Viscose,2022-01-24
P2600,Jaqueta Puffer Cinza 2600,262.15,4.8,Poliéster,2025-08-14
P2601,Bermuda Esportiva Amarela 2601,309.88,4.2,Sarja,2022-07-02
P2602,Saia Jeans Verde 2602,106.93,4.0,Poliéster,2025-11-14
P2603,Blusa Social Azul 2603,234.01,4.8,Viscose,2022-07-19
P2604,Regata Esportiva Rosa 2604,120.49,5.0,Algodão,2023-10-08
P2605,Moletom Com Capuz Amarela 2605,296.35,4.1,Algodão/Poliéster,2023-06-23
P2606,Regata Esportiva Marrom 2606,55.42,4.0,Algodão,2025-02-24
P2607,Jaqueta Puffer Branca 2607,44.66,4.0,Poliéster,2022-01-21
P2608,Regata Básica Amarela 2608,208.81,5.0,Algodão,2022-05-26
P2609,Vestido Casual Amarela 2609,213.58,4.8,Viscose,2022-02-03
P2610,Camisa Linho Preta 2610,226.97,4.1,Algodão,2022-04-23
P2611,Moletom Básico Azul 2611,330.03,4.2,Algodão/Poliéster,2023-07-27
P2612,Vestido Floral Verde 2612,182.87,5.0,Viscose,2024-04-27
P2613,Camiseta Polo Preta 2613,162.67,3.8,Algodão,2025-11-22
P2614,Bermuda Cargo Cinza 2614,346.85,4.3,Sarja,2023-05-23
P2615,Moletom Canguru Amarela 2615,290.3,4.2,Algodão/Poliéster,2023-04-29
P2616,Calça Jogger Vermelha 2616,372.82,4.5,Sarja,2021-11-30
P2617,Camiseta Básica Bege 2617,388.3,4.4,Algodão,2021-07-24
P2618,Conjunto Esportivo Vermelha 2618,84.05,4.3,Poliéster,2025-04-25
P2619,Jaqueta Corta-Vento Verde 2619,143.48,4.3,Nylon,2024-08-02
P2620,Blusa Manga Longa Azul 2620,149.58,3.6,Viscose,2024-01-07
P2621,Saia Plissada Bege 2621,236.7,3.9,Poliéster,2023-07-08
P2622,Camiseta Slim Cinza 2622,241.25,4.1,Algodão,2023-12-13
P2623,Blazer Slim Vermelha 2623,159.24,3.7,Poliéster,2025-10-16
P2624,Saia Casual Preta 2624,162.16,4.4,Poliéster,2022-01-27
P2625,Camiseta Estampada Branca 2625,304.88,4.3,Algodão,2023-10-29
P2626,Camiseta Estampada Branca 2626,87.59,4.5,Algodão,2022-05-14
P2627,Calça Jeans Marrom 2627,150.72,3.8,Sarja,2021-08-06
P2628,Moletom Estampado Bege 2628,344.77,4.5,Algodão/Poliéster,2024-12-04
P2629,Moletom Com Capuz Marrom 2629,218.42,3.8,Algodão/Poliéster,2024-12-29
P2630,Bermuda Moletom Vermelha 2630,190.65,4.1,Sarja,2025-10-29
P2631,Jaqueta Jeans Azul 2631,338.65,3.7,Denim,2021-02-14
P2632,Calça Social Amarela 2632,274.12,4.2,Sarja,2022-01-02
P2633,Saia Plissada Bege 2633,267.41,3.8,Poliéster,2024-04-03
P2634,Camiseta Slim Verde 2634,369.08,4.9,Algodão,2025-08-08
P2635,Blazer Social Bege 2635,282.97,4.5,Poliéster,2026-04-29
P2636,Camisa Flanela Azul 2636,79.89,4.0,Algodão,2025-06-19
P2637,Saia Jeans Preta 2637,117.31,3.5,Poliéster,2026-02-16
P2638,Camisa Flanela Preta 2638,82.47,4.3,Algodão,2025-08-14
P2639,Bermuda Jeans Branca 2639,255.43,4.1,Sarja,2022-10-16
P2640,Camiseta Estampada Preta 2640,303.28,4.7,Algodão,2024-04-18
P2641,Jaqueta Corta-Vento Amarela 2641,278.75,4.3,Nylon,2024-08-07
P2642,Camisa Flanela Bege 2642,51.5,3.9,Algodão,2022-12-29
P2643,Vestido Midi Rosa 2643,345.95,4.3,Viscose,2026-01-07
P2644,Camiseta Oversized Vermelha 2644,327.57,4.3,Algodão,2025-05-15
P2645,Camiseta Oversized Preta 2645,194.48,5.0,Algodão,2023-12-06
P2646,Regata Básica Rosa 2646,154.43,4.5,Algodão,2023-09-21
P2647,Blusa Manga Longa Marrom 2647,358.4,4.5,Viscose,2025-06-28
P2648,Camiseta Slim Cinza 2648,158.86,4.3,Algodão,2022-04-05
P2649,Saia Plissada Rosa 2649,375.99,4.3,Poliéster,2022-03-29
P2650,Moletom Estampado Cinza 2650,115.42,4.6,Algodão/Poliéster,2023-04-13
P2651,Blusa Manga Longa Azul 2651,377.95,4.9,Viscose,2021-09-21
P2652,Saia Midi Azul 2652,315.04,4.3,Poliéster,2023-08-06
P2653,Blusa Básica Amarela 2653,58.53,4.6,Viscose,2023-06-14
P2654,Blazer Slim Rosa 2654,202.95,3.8,Poliéster,2023-11-12
P2655,Saia Casual Cinza 2655,340.39,4.7,Poliéster,2023-08-13
P2656,Jaqueta Jeans Verde 2656,367.01,4.1,Denim,2026-02-01
P2657,Bermuda Jeans Marrom 2657,317.13,4.9,Sarja,2022-07-22
P2658,Blazer Casual Preta 2658,96.81,4.3,Poliéster,2023-05-01
P2659,Calça Jogger Verde 2659,175.81,4.5,Sarja,2025-03-08
P2660,Saia Jeans Azul 2660,56.65,4.3,Poliéster,2022-08-13
P2661,Jaqueta Jeans Rosa 2661,46.21,3.8,Denim,2024-09-20
P2662,Camiseta Básica Bege 2662,92.26,3.9,Algodão,2026-06-15
P2663,Camisa Flanela Branca 2663,132.93,4.6,Algodão,2023-02-16
P2664,Blusa Básica Amarela 2664,62.44,4.8,Viscose,2022-05-16
P2665,Regata Básica Cinza 2665,399.89,4.4,Algodão,2022-01-29
P2666,Camiseta Estampada Preta 2666,243.75,4.1,Algodão,2021-01-23
P2667,Bermuda Cargo Branca 2667,167.57,4.5,Sarja,2022-08-11
P2668,Moletom Estampado Verde 2668,207.41,4.3,Algodão/Poliéster,2025-10-25
P2669,Bermuda Moletom Bege 2669,187.33,4.0,Sarja,2022-06-12
P2670,Bermuda Esportiva Amarela 2670,311.38,4.4,Sarja,2026-05-29
P2671,Bermuda Moletom Azul 2671,318.73,4.5,Sarja,2026-05-26
P2672,Moletom Básico Preta 2672,145.89,4.2,Algodão/Poliéster,2024-11-12
P2673,Moletom Canguru Amarela 2673,148.3,4.2,Algodão/Poliéster,2026-07-23
P2674,Regata Esportiva Azul 2674,274.68,3.6,Algodão,2023-04-24
P2675,Camiseta Oversized Vermelha 2675,399.04,4.7,Algodão,2026-06-02
P2676,Blusa Canelada Cinza 2676,297.0,4.4,Viscose,2024-01-31
P2677,Conjunto Moletom Azul 2677,381.28,3.5,Algodão/Poliéster,2021-06-17
P2678,Saia Midi Amarela 2678,326.48,4.5,Poliéster,2025-09-18
P2679,Vestido Floral Vermelha 2679,144.9,4.3,Viscose,2026-05-21
P2680,Regata Básica Bege 2680,204.2,5.0,Algodão,2026-01-06
P2681,Camisa Manga Curta Cinza 2681,110.97,4.5,Algodão,2023-05-13
P2682,Conjunto Casual Rosa 2682,241.71,3.5,Algodão,2021-08-01
P2683,Bermuda Cargo Bege 2683,46.62,4.8,Sarja,2024-04-26
P2684,Calça Jogger Marrom 2684,141.5,4.4,Sarja,2025-12-01
P2685,Camiseta Polo Branca 2685,280.41,4.7,Algodão,2025-10-06
P2686,Camisa Linho Cinza 2686,130.13,4.5,Algodão,2024-07-01
P2687,Camiseta Oversized Rosa 2687,58.16,4.1,Algodão,2025-06-15
P2688,Moletom Básico Marrom 2688,212.3,4.3,Algodão/Poliéster,2021-03-08
P2689,Blazer Social Verde 2689,384.46,4.4,Poliéster,2024-07-13
P2690,Blazer Slim Cinza 2690,253.22,4.6,Poliéster,2021-08-13
P2691,Moletom Com Capuz Marrom 2691,388.43,3.9,Algodão/Poliéster,2025-03-31
P2692,Camiseta Básica Verde 2692,326.15,4.6,Algodão,2021-04-05
P2693,Conjunto Esportivo Marrom 2693,225.18,4.6,Poliéster,2024-05-15
P2694,Jaqueta Jeans Branca 2694,138.29,4.2,Denim,2026-05-17
P2695,Blazer Casual Preta 2695,185.38,4.5,Poliéster,2021-08-20
P2696,Jaqueta Jeans Azul 2696,79.21,4.4,Denim,2023-06-02
P2697,Camiseta Oversized Azul 2697,356.11,5.0,Algodão,2021-03-26
P2698,Saia Midi Cinza 2698,173.23,4.8,Poliéster,2025-01-20
P2699,Blazer Social Verde 2699,257.14,4.1,Poliéster,2026-03-30
P2700,Regata Esportiva Azul 2700,283.7,3.3,Algodão,2021-01-04
P2701,Camiseta Estampada Bege 2701,355.31,3.4,Algodão,2024-02-04
P2702,Bermuda Esportiva Amarela 2702,321.12,4.2,Sarja,2025-06-30
P2703,Camisa Social Amarela 2703,371.15,4.6,Algodão,2021-02-22
P2704,Blazer Social Branca 2704,277.22,3.5,Poliéster,2023-09-25
P2705,Conjunto Moletom Cinza 2705,102.14,4.1,Algodão/Poliéster,2021-09-24
P2706,Blazer Slim Marrom 2706,345.65,4.0,Poliéster,2026-03-26
P2707,Calça Sarja Cinza 2707,152.56,4.3,Sarja,2023-11-21
P2708,Blusa Canelada Verde 2708,258.88,4.0,Viscose,2023-12-14
P2709,Vestido Midi Marrom 2709,109.74,4.6,Viscose,2026-08-26
P2710,Saia Casual Azul 2710,40.18,3.8,Poliéster,2025-06-21
P2711,Camisa Social Preta 2711,237.32,4.1,Algodão,2022-10-12
P2712,Saia Casual Bege 2712,204.82,4.5,Poliéster,2024-07-26
P2713,Moletom Canguru Cinza 2713,254.33,4.9,Algodão/Poliéster,2022-09-07
P2714,Bermuda Cargo Bege 2714,234.22,4.3,Sarja,2023-12-13
P2715,Conjunto Moletom Marrom 2715,129.03,3.9,Algodão/Poliéster,2025-08-08
P2716,Blazer Social Rosa 2716,373.11,3.9,Poliéster,2026-05-16
P2717,Calça Social Amarela 2717,269.27,3.8,Sarja,2026-05-23
P2718,Regata Básica Marrom 2718,240.96,4.5,Algodão,2023-10-23
P2719,Camiseta Estampada Branca 2719,244.38,3.8,Algodão,2026-01-26
P2720,Vestido Midi Cinza 2720,399.89,5.0,Viscose,2026-01-21
P2721,Bermuda Jeans Rosa 2721,293.11,4.2,Sarja,2024-02-05
P2722,Conjunto Esportivo Marrom 2722,198.57,4.3,Poliéster,2021-03-16
P2723,Camisa Manga Curta Rosa 2723,118.62,4.5,Algodão,2021-09-04
P2724,Conjunto Moletom Rosa 2724,194.1,4.1,Algodão/Poliéster,2024-09-22
P2725,Regata Básica Preta 2725,66.92,4.7,Algodão,2025-09-15
P2726,Calça Cargo Marrom 2726,111.01,4.3,Sarja,2026-03-02
P2727,Saia Midi Branca 2727,274.02,5.0,Poliéster,2022-05-19
P2728,Calça Cargo Bege 2728,218.63,4.4,Sarja,2026-02-04
P2729,Saia Jeans Bege 2729,291.64,3.6,Poliéster,2025-09-07
P2730,Moletom Estampado Amarela 2730,81.39,3.8,Algodão/Poliéster,2023-10-01
P2731,Saia Plissada Marrom 2731,147.61,4.6,Poliéster,2023-02-13
P2732,Camiseta Slim Marrom 2732,240.84,4.6,Algodão,2023-09-04
P2733,Jaqueta Bomber Bege 2733,234.41,3.9,Poliéster,2024-10-29
P2734,Blusa Manga Longa Marrom 2734,210.62,4.2,Viscose,2025-08-04
P2735,Blazer Social Bege 2735,207.45,4.9,Poliéster,2021-12-22
P2736,Moletom Canguru Bege 2736,183.72,3.7,Algodão/Poliéster,2022-11-25
P2737,Blazer Social Amarela 2737,287.63,4.2,Poliéster,2021-09-06
P2738,Calça Jogger Bege 2738,54.49,3.6,Sarja,2026-04-23
P2739,Calça Cargo Vermelha 2739,275.22,3.3,Sarja,2023-04-23
P2740,Moletom Estampado Amarela 2740,286.86,3.8,Algodão/Poliéster,2022-06-03
P2741,Regata Básica Amarela 2741,286.92,4.2,Algodão,2022-02-25
P2742,Blazer Slim Verde 2742,183.72,4.0,Poliéster,2021-06-03
P2743,Vestido Midi Azul 2743,88.08,4.3,Viscose,2023-09-03
P2744,Vestido Floral Bege 2744,399.89,4.2,Viscose,2025-05-17
P2745,Camiseta Básica Verde 2745,296.64,4.2,Algodão,2022-10-31
P2746,Moletom Canguru Cinza 2746,318.68,4.1,Algodão/Poliéster,2023-04-18
P2747,Camiseta Polo Rosa 2747,314.88,4.2,Algodão,2024-08-09
P2748,Bermuda Jeans Branca 2748,344.26,5.0,Sarja,2023-01-07
P2749,Conjunto Esportivo Azul 2749,293.43,3.7,Poliéster,2025-03-10
P2750,Blazer Social Cinza 2750,269.68,4.3,Poliéster,2022-10-26
P2751,Calça Sarja Vermelha 2751,305.2,3.7,Sarja,2023-07-13
P2752,Camisa Social Preta 2752,120.84,4.4,Algodão,2026-07-22
P2753,Jaqueta Corta-Vento Rosa 2753,165.4,5.0,Nylon,2025-09-27
P2754,Regata Esportiva Branca 2754,311.49,5.0,Algodão,2024-03-28
P2755,Jaqueta Corta-Vento Bege 2755,359.25,4.5,Nylon,2023-03-22
P2756,Bermuda Esportiva Vermelha 2756,307.21,4.8,Sarja,2026-08-15
P2757,Conjunto Casual Vermelha 2757,396.08,3.8,Algodão,2023-08-16
P2758,Conjunto Casual Rosa 2758,92.99,4.6,Algodão,2022-12-12
P2759,Regata Esportiva Marrom 2759,253.71,4.6,Algodão,2024-05-18
P2760,Camiseta Slim Amarela 2760,152.61,4.7,Algodão,2023-05-07
P2761,Calça Jeans Marrom 2761,382.0,4.5,Sarja,2026-01-15
P2762,Jaqueta Bomber Bege 2762,321.69,4.8,Poliéster,2022-03-15
P2763,Jaqueta Bomber Bege 2763,281.97,3.8,Poliéster,2021-04-14
P2764,Regata Esportiva Branca 2764,309.53,5.0,Algodão,2023-06-10
P2765,Conjunto Casual Cinza 2765,397.35,4.5,Algodão,2026-05-17
P2766,Camiseta Polo Bege 2766,154.27,4.2,Algodão,2021-05-09
P2767,Bermuda Esportiva Verde 2767,139.51,3.3,Sarja,2025-07-31
P2768,Blazer Casual Verde 2768,149.89,4.1,Poliéster,2021-01-02
P2769,Blusa Manga Longa Azul 2769,151.58,3.7,Viscose,2024-02-28
P2770,Jaqueta Bomber Bege 2770,274.12,3.9,Poliéster,2023-07-27
P2771,Moletom Com Capuz Branca 2771,278.68,3.8,Algodão/Poliéster,2021-11-27
P2772,Conjunto Moletom Vermelha 2772,229.62,4.0,Algodão/Poliéster,2025-03-24
P2773,Shorts Jeans 2773,111.19,4.4,Algodão,2021-12-29
P2774,Camisa Flanela Verde 2774,137.99,4.2,Algodão,2023-06-24
P2775,Moletom Com Capuz Azul 2775,240.41,4.6,Algodão/Poliéster,2024-03-01
P2776,Bermuda Esportiva Bege 2776,361.49,3.5,Sarja,2023-12-08
P2777,Regata Canelada Verde 2777,276.39,4.7,Algodão,2021-03-07
P2778,Jaqueta Jeans Azul 2778,277.94,4.8,Denim,2023-07-11
P2779,Vestido Floral Bege 2779,348.11,4.4,Viscose,2024-09-16
P2780,Vestido Midi Vermelha 2780,275.7,4.2,Viscose,2023-12-26
P2781,Blazer Social Vermelha 2781,305.42,3.9,Poliéster,2025-02-19
P2782,Jaqueta Corta-Vento Vermelha 2782,280.83,4.9,Nylon,2025-05-24
P2783,Vestido Casual Marrom 2783,373.35,4.6,Viscose,2022-01-07
P2784,Vestido Casual Bege 2784,83.21,3.7,Viscose,2025-07-22
P2785,Moletom Básico Cinza 2785,254.96,3.9,Algodão/Poliéster,2026-01-26
P2786,Blusa Social Marrom 2786,217.24,3.1,Viscose,2025-09-30
P2787,Moletom Estampado Branca 2787,92.53,4.7,Algodão/Poliéster,2025-10-28
P2788,Moletom Canguru Amarela 2788,300.54,4.3,Algodão/Poliéster,2022-03-16
P2789,Saia Casual Vermelha 2789,119.7,4.1,Poliéster,2024-09-11
P2790,Jaqueta Jeans Azul 2790,192.12,4.0,Denim,2023-08-06
P2791,Vestido Casual Azul 2791,168.24,4.2,Viscose,2026-07-30
P2792,Camisa Social Verde 2792,255.59,3.4,Algodão,2025-09-16
P2793,Moletom Canguru Bege 2793,289.56,4.0,Algodão/Poliéster,2021-12-01
P2794,Regata Canelada Vermelha 2794,40.18,4.5,Algodão,2026-05-03
P2795,Camisa Linho Verde 2795,173.87,4.5,Algodão,2024-12-13
P2796,Conjunto Moletom Branca 2796,86.98,3.7,Algodão/Poliéster,2024-01-29
P2797,Blusa Social Azul 2797,86.51,4.9,Viscose,2023-07-12
P2798,Bermuda Cargo Vermelha 2798,347.33,5.0,Sarja,2023-10-18
P2799,Bermuda Jeans Preta 2799,265.49,4.8,Sarja,2025-05-15
P2800,Bermuda Cargo Verde 2800,212.65,4.6,Sarja,2025-05-01
P2801,Jaqueta Jeans Azul 2801,182.47,4.3,Denim,2024-02-17
P2802,Blusa Canelada Preta 2802,43.12,3.6,Viscose,2026-08-14
P2803,Calça Jogger Amarela 2803,173.35,4.0,Sarja,2022-04-26
P2804,Camisa Social Branca 2804,245.61,3.4,Algodão,2023-06-01
P2805,Calça Cargo Vermelha 2805,297.82,3.3,Sarja,2024-05-23
P2806,Jaqueta Puffer Marrom 2806,226.14,4.0,Poliéster,2021-12-08
P2807,Saia Casual Vermelha 2807,109.33,4.2,Poliéster,2023-10-30
P2808,Regata Esportiva Preta 2808,306.74,3.9,Algodão,2025-09-23
P2809,Calça Cargo Rosa 2809,294.55,4.0,Sarja,2024-10-29
P2810,Blusa Social Vermelha 2810,76.33,4.2,Viscose,2025-01-09
P2811,Vestido Floral Amarela 2811,399.89,4.4,Viscose,2021-12-01
P2812,Moletom Com Capuz Azul 2812,60.38,3.5,Algodão/Poliéster,2021-10-28
P2813,Camiseta Básica Amarela 2813,239.69,4.8,Algodão,2023-07-04
P2814,Jaqueta Corta-Vento Azul 2814,193.14,4.6,Nylon,2022-11-01
P2815,Saia Casual Azul 2815,217.05,4.5,Poliéster,2021-01-21
P2816,Moletom Básico Bege 2816,305.88,4.4,Algodão/Poliéster,2024-02-19
P2817,Blazer Slim Vermelha 2817,114.22,4.9,Poliéster,2025-04-10
